"Name","VisualLevel","TID","InfoTID","EnabledByCalendar","Speed","Hitpoints","UpgradeTimeH","UpgradeResource","UpgradeCost","RequiredTownHallLevel","RequiredHeroTavernLevel","AttackRange","AltAttackRange","AttackSpeed","CoolDownOverride","DPS","PreferedTargetDamageMod","DamageRadius","IconSWF","IconExportName","BigPicture","BigPictureSWF","SquarePicture","SquarePictureSWF","ArmyTrainingPicture","ArmyTrainingPictureSWF","Projectile","PreferedTargetBuilding","DeployEffect","AttackEffect","AttackEffectAlt","HitEffect","IsFlying","AirTargets","GroundTargets","IsJumper","AttackCount","DieEffect","Animation","AbilityAttackCount","MaxSearchRadiusForDefender","HousingSpace","HealerWeight","TrainingResource","TrainingCost","CelebrateEffect","SleepOffsetX","SleepOffsetY","PatrolRadius","AbilitySummonTroop","AbilityDescTID","AbilityIcon","AbilityBigPictureExportName","StrengthWeight","StrengthWeight2","AlertRadius","Scale","AuraSpell","AuraSpellLevel","AuraTID","AuraDescTID","AuraBigPictureExportName","RetributionSpell","RetributionSpellLevel","RetributionSpellTriggerHealth","HasAltMode","AltModeFlying","AltModeAnimation","PreferedTargetBuildingClass","NoAttackOverWalls","TargetGroups","FightWithGroups","TargetGroupsRadius","TargetGroupsRange","TargetGroupsMinWeight","SmoothJump","WakeUpSpeed","WakeUpSpace","FriendlyGroupWeight","EnemyGroupWeight","AttackEffectShared","TargetedEffectOffset","TriggersTraps","VillageType","NoDefence","PreAttackEffect","DefaultSkin","NewTargetAttackDelay","Gender","SpecialAbilities","SpecialAbilitiesLevel","OnlyShowRageBoost","AvoidNoiseInAttackPositionSelection","AbilityExtraPowerMaxLevel","PreviewScenario","AltPreviewScenario","ItemSlotCount","DefaultItems","MigrationGearLevel","HeroFlagSWF","HeroFlagExportName","HeroFlagBaseExportName","HeroBannerPrefix","LevelGrantedByTavernLevel","ControlledMoveEffect","ForceRetaliation","ScaleByTH"
"String","int","String","String","boolean","int","int","int","String","int","int","int","int","int","int","int","int","int","int","String","String","String","String","String","String","String","String","String","String","String","String","String","String","boolean","boolean","boolean","boolean","int","String","String","int","int","int","int","String","int","String","int","int","int","String","String","String","String","int","int","int","int","String","int","String","String","String","String","int","int","boolean","boolean","String","String","boolean","boolean","boolean","int","int","int","boolean","int","int","int","int","String","int","boolean","int","boolean","String","String","int","String","String","String","boolean","boolean","int","String","String","int","String","int","String","String","String","String","int","String","boolean","boolean"
"Barbarian King",1,"TID_BARBARIAN_KING","TID_HERO_INSTRUCTIONS_BARBARIAN",,200,1445,2,"DarkElixir",5000,4,1,100,,1200,,102,1,,"sc/ui.sc","icon_hero_barbarianKing","unit_barbarianKing_big","sc/info_barbarian.sc","icon_hero_barbarianKing_profile","sc/ui.sc","hero_art_bk","sc/ui.sc",,,"Hero Deploy",,,"Barbarian King Hit","FALSE","FALSE","TRUE","FALSE",,,,,1000,25,21,"Elixir",,"Barbarian King Scream",,,300,"Barbarian","TID_HERO_ABILITY_BARBARIAN_DESC","icon_hero_barbarianKing_ability1","unit_barbarianKing_ability_big",1564,782,1200,,,,,,,,,,,,,,,,,,,,,,,2100,2500,,-50,"TRUE",,,,"BarbarianKingDefault",,"M","BarbarianKingAbilityHeal","1",,"TRUE",,"HeroKingLevel1",,2,"Barbarian Puppet; Rage Vial;",1,"sc/buildings.sc","BK_rally_point","BK_rally_point_base","bk",,"ForceMoveBK","TRUE","TRUE"
,2,,,,,1481,4,,5500,7,1,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1601,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,"HeroKing",,,,1,,,,,,,,
,3,,,,,1518,8,,6000,7,1,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1634,817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,1,,,,,,,,
,4,,,,,1556,10,,6500,7,1,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,1,,,,,,,,
,5,,,,,1595,12,,7000,7,1,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1802,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,1,,,,,,,,
,6,,,,,1635,14,,7500,7,1,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1844,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,1,,,,,,,,
,7,,,,,1675,16,,8000,7,1,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,1,,,,,,,,
,8,,,,,1717,18,,8500,7,1,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929,1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,1,,,,,,,,
,9,,,,,1760,20,,10000,7,1,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978,1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,1,,,,,,,,
